Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,208,81
In the Name of Love,Martin Garrix,big room,2016,134,52,50,196,81
Into You,Ariana Grande,dance pop,2016,108,73,62,244,80
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,222,80
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,205,80
Needed Me,Rihanna,barbadian pop,2016,111,31,67,192,80
7 Years,Lukas Graham,danish pop,2016,120,47,77,237,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,236,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,214,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,230,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,225,79
Work,Rihanna,barbadian pop,2016,92,53,73,219,78
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,207,78
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,251,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,198,78
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,236,78
Starving,Hailee Steinfeld,dance pop,2016,100,62,73,182,78
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,246,77
Electric Love,B0NS,electropop,2016,120,80,61,218,76
Confident,Demi Lovato,dance pop,2016,130,75,59,206,75
